alpha,gamma,episodes,eps_start,eps_end,eps_decay,seed,win_rate,draw_rate,loss_rate,avg_return,wins,losses,draws,train_time_s,eval_time_s,curve_path
0.05,1.0,50000,1.0,0.05,0.9995,42,0.42355,0.09291,0.48354,-0.05998999997973442,20383,25281,4336,0.4692,0.4517,
0.05,1.0,50000,1.0,0.05,0.9995,43,0.41939,0.09342,0.48719,-0.06780000030994415,20373,25264,4363,0.316,0.4485,
0.05,1.0,100000,1.0,0.05,0.9995,42,0.42645,0.09397,0.47958,-0.053130000829696655,41066,50116,8818,0.6588,0.4427,
0.05,1.0,100000,1.0,0.05,0.9995,43,0.42078,0.09571,0.48351,-0.06272999942302704,40999,50174,8827,0.6502,0.4441,
0.05,1.0,200000,1.0,0.05,0.9995,42,0.42131,0.09558,0.48311,-0.061799999326467514,82381,99662,17957,1.3592,0.4659,
0.05,1.0,200000,1.0,0.05,0.9995,43,0.42156,0.09365,0.48479,-0.063230000436306,82644,99474,17882,1.3517,0.4516,
0.1,1.0,50000,1.0,0.05,0.9995,42,0.41712,0.09332,0.48956,-0.0724399983882904,20167,25351,4482,0.3223,0.4613,
0.1,1.0,50000,1.0,0.05,0.9995,43,0.42019,0.09471,0.4851,-0.06491000205278397,20249,25257,4494,0.3265,0.4495,
0.1,1.0,100000,1.0,0.05,0.9995,42,0.41959,0.09301,0.4874,-0.06780999898910522,40660,50399,8941,0.6475,0.8661,
0.1,1.0,100000,1.0,0.05,0.9995,43,0.42296,0.08831,0.48873,-0.06577000021934509,40597,50401,9002,1.6118,0.9402,
0.1,1.0,200000,1.0,0.05,0.9995,42,0.42223,0.09482,0.48295,-0.06072000041604042,81667,100370,17963,3.2366,0.9533,
0.1,1.0,200000,1.0,0.05,0.9995,43,0.42169,0.0945,0.48381,-0.06212000176310539,82003,100119,17878,3.2026,0.9561,
0.2,1.0,50000,1.0,0.05,0.9995,42,0.41466,0.0894,0.49594,-0.08128000050783157,20145,25605,4250,0.7942,0.9634,
0.2,1.0,50000,1.0,0.05,0.9995,43,0.41536,0.09522,0.48942,-0.07406000047922134,20091,25466,4443,0.7958,0.9589,
0.2,1.0,100000,1.0,0.05,0.9995,42,0.42023,0.08854,0.49123,-0.07100000232458115,40515,50828,8657,1.6254,0.95,
0.2,1.0,100000,1.0,0.05,0.9995,43,0.40865,0.09123,0.50012,-0.09147000312805176,40457,50580,8963,1.6191,0.9764,
0.2,1.0,200000,1.0,0.05,0.9995,42,0.41507,0.09067,0.49426,-0.07919000089168549,81023,101281,17696,3.2369,0.9541,
0.2,1.0,200000,1.0,0.05,0.9995,43,0.4133,0.09056,0.49614,-0.08284000307321548,81334,100727,17939,3.2215,0.944,
